,,auroc,auprc,sens,spec,sens_at_90spec,acc
XGBoost,mean,0.9003808731599113,0.7770699711662555,0.6930833333333334,0.9439261947973381,0.7626666666666666,0.8914802130898021
XGBoost,std,0.04684284910725101,0.09447951054342917,0.12336403943001299,0.03024697764739824,0.11983950907988541,0.036061957382026874
XGBoost,ci_lo,0.8010818713450292,0.5740145611644674,0.41500000000000004,0.881140350877193,0.5333333333333333,0.821917808219178
XGBoost,ci_hi,0.9695719903206291,0.9226608812299602,0.873125,0.9961206896551724,0.9365625,0.9452054794520548
RandomForest,mean,0.9101997882637629,0.7889303458477746,0.7245833333333332,0.922637628554144,0.7508333333333332,0.881259512937595
RandomForest,std,0.037574426216318776,0.07697346396077923,0.11939903490040192,0.0299038132142979,0.11460768139579755,0.03246347822947987
RandomForest,ci_lo,0.8389589635007059,0.6414330686335502,0.4666666666666667,0.8771929824561403,0.5333333333333333,0.824486301369863
RandomForest,ci_hi,0.967797880116959,0.9101113481425981,0.875,0.9786448880822746,0.9333333333333333,0.9413194444444444
